code,date,open,close,high,low,volume,money
000300.XSHG,2018-02-22,4020.97,4052.73,4058.79,4009.92,10581157100.0,138334361735.0
000300.XSHG,2018-02-23,4061.75,4071.09,4085.2,4035.23,9945874600.0,128195835194.0
000300.XSHG,2018-02-26,4093.4,4118.42,4128.74,4048.98,13788100100.0,179013093605.0
000300.XSHG,2018-02-27,4120.87,4058.98,4120.87,4051.81,12593447000.0,169684900954.0
000300.XSHG,2018-02-28,4016.79,4023.64,4051.71,3991.71,10934359300.0,152493909262.0
000300.XSHG,2018-03-01,3994.87,4049.09,4061.03,3986.89,11019985200.0,146003456663.0
000300.XSHG,2018-03-02,4014.95,4016.46,4044.42,4006.94,9616500000.0,130931181201.0
000300.XSHG,2018-03-05,4021.66,4018.1,4042.83,3995.87,8795254800.0,118197859452.0
000300.XSHG,2018-03-06,4034.99,4066.56,4067.55,3998.93,13876244400.0,171370654136.0
000300.XSHG,2018-03-07,4063.5,4036.65,4089.7,4027.94,10695242600.0,136572305560.0
000300.XSHG,2018-03-08,4038.95,4077.6,4078.23,4029.71,9115581000.0,123634637120.0
000300.XSHG,2018-03-09,4088.07,4108.87,4110.67,4076.45,11370180800.0,150024119651.0
000300.XSHG,2018-03-12,4130.71,4127.67,4139.53,4112.77,14090673900.0,190367593786.0
000300.XSHG,2018-03-13,4124.33,4091.25,4130.28,4087.56,11176643000.0,141174160638.0
000300.XSHG,2018-03-14,4076.06,4073.34,4089.09,4066.49,9901340900.0,131537959370.0
000300.XSHG,2018-03-15,4058.71,4096.16,4098.99,4058.71,8816115600.0,126882452702.0
000300.XSHG,2018-03-16,4096.89,4056.42,4110.05,4055.82,8489618800.0,122125342027.0
000300.XSHG,2018-03-19,4054.62,4074.25,4074.52,4033.52,8150288200.0,118183815140.0
000300.XSHG,2018-03-20,4045.74,4077.7,4080.19,4040.31,8060528000.0,111980234031.0
000300.XSHG,2018-03-21,4097.02,4061.05,4110.12,4046.24,9760948800.0,139330411871.0
000300.XSHG,2018-03-22,4062.07,4020.35,4072.38,4003.72,8909525900.0,127664337990.0
000300.XSHG,2018-03-23,3896.74,3904.94,3928.51,3834.94,18008044900.0,218905031317.0
000300.XSHG,2018-03-26,3862.69,3879.89,3883.9,3829.92,11513912800.0,156604527227.0
000300.XSHG,2018-03-27,3927.49,3913.27,3936.78,3881.87,11370071100.0,162291546573.0
000300.XSHG,2018-03-28,3865.05,3842.72,3907.28,3835.88,10149490800.0,155848951057.0
000300.XSHG,2018-03-29,3854.59,3894.05,3913.96,3794.26,11662906600.0,164996782981.0
000300.XSHG,2018-03-30,3893.75,3898.5,3915.35,3879.21,9751227000.0,137959280455.0
000300.XSHG,2018-04-02,3897.01,3886.92,3937.02,3882.89,11124266600.0,159356080038.0
000300.XSHG,2018-04-03,3850.15,3862.48,3878.15,3839.93,9513736900.0,132049936105.0
000300.XSHG,2018-04-04,3873.63,3854.86,3898.61,3852.5,8873060900.0,131593067938.0
000300.XSHG,2018-04-09,3851.95,3852.93,3870.67,3827.41,8410546200.0,118167273509.0
000300.XSHG,2018-04-10,3860.72,3927.17,3927.42,3851.8,10617372200.0,137941300225.0
000300.XSHG,2018-04-11,3934.17,3938.34,3958.71,3924.96,11193302100.0,139989290630.0
000300.XSHG,2018-04-12,3935.67,3898.64,3937.78,3896.18,8269949000.0,108075565476.0
000300.XSHG,2018-04-13,3920.74,3871.14,3929.95,3866.19,7154420300.0,98921826969.0
000300.XSHG,2018-04-16,3862.47,3808.86,3869.16,3789.61,9921777000.0,131566866868.0
000300.XSHG,2018-04-17,3812.87,3748.64,3822.63,3745.44,9061079000.0,126518751972.0
000300.XSHG,2018-04-18,3785.31,3766.28,3789.66,3708.11,10667670600.0,143077676004.0
000300.XSHG,2018-04-19,3774.78,3811.84,3824.03,3767.8,9905406000.0,127520121562.0
000300.XSHG,2018-04-20,3801.21,3760.85,3815.44,3750.1,9928292500.0,123550664541.0
000300.XSHG,2018-04-23,3754.69,3766.33,3787.4,3735.18,9035629100.0,111763031500.0
000300.XSHG,2018-04-24,3769.88,3843.49,3854.43,3769.88,11421952500.0,145700512791.0
000300.XSHG,2018-04-25,3824.59,3828.7,3838.69,3817.03,7817261200.0,105750449452.0
000300.XSHG,2018-04-26,3823.39,3755.49,3828.71,3744.89,8715064100.0,125772304515.0
000300.XSHG,2018-04-27,3771.04,3756.88,3776.98,3714.64,8953172600.0,142113627600.0
000300.XSHG,2018-05-02,3769.93,3763.65,3787.3,3744.55,8330103500.0,120083483290.0
000300.XSHG,2018-05-03,3756.17,3793.0,3797.53,3732.37,9396111800.0,122740168864.0
000300.XSHG,2018-05-04,3784.32,3774.6,3801.52,3770.94,7155428800.0,98315254609.0
000300.XSHG,2018-05-07,3782.54,3834.19,3834.59,3776.03,8728619500.0,126354800811.0
000300.XSHG,2018-05-08,3834.61,3878.68,3892.07,3833.73,9421515700.0,135445862529.0
000300.XSHG,2018-05-09,3876.13,3871.62,3878.94,3855.74,6671296600.0,92322896271.0
000300.XSHG,2018-05-10,3882.84,3893.06,3894.49,3867.31,7066780900.0,103255140585.0
000300.XSHG,2018-05-11,3902.15,3872.84,3903.34,3871.95,7335660400.0,107715457040.0
000300.XSHG,2018-05-14,3886.87,3909.29,3919.3,3886.87,8197599900.0,122520047995.0
000300.XSHG,2018-05-15,3920.14,3924.1,3924.34,3892.92,7604955500.0,106091905845.0
000300.XSHG,2018-05-16,3909.82,3892.84,3923.34,3889.19,7191364600.0,106533930265.0
000300.XSHG,2018-05-17,3895.49,3864.05,3899.51,3858.85,5903012300.0,87104164680.0
000300.XSHG,2018-05-18,3860.16,3903.06,3903.06,3841.9,7261395600.0,96823851809.0
000300.XSHG,2018-05-21,3925.54,3921.24,3937.46,3913.6,9264173700.0,120528726019.0
000300.XSHG,2018-05-22,3918.82,3906.21,3918.82,3881.17,7536877800.0,102883344897.0
000300.XSHG,2018-05-23,3898.27,3854.58,3898.27,3854.58,8372231900.0,110684503206.0
000300.XSHG,2018-05-24,3853.29,3827.22,3859.1,3823.92,6834502200.0,93408219637.0
000300.XSHG,2018-05-25,3823.74,3816.5,3841.12,3804.13,7083638600.0,95667543827.0
000300.XSHG,2018-05-28,3816.26,3833.26,3846.55,3799.32,7152113200.0,100001639047.0
000300.XSHG,2018-05-29,3824.19,3804.01,3841.78,3800.67,8155266200.0,117288580582.0
000300.XSHG,2018-05-30,3755.18,3723.37,3767.89,3722.07,8791328500.0,115858975810.0
000300.XSHG,2018-05-31,3749.3,3802.38,3804.79,3742.53,9266689400.0,130545422180.0
000300.XSHG,2018-06-01,3789.67,3770.59,3802.54,3753.84,7782181300.0,105934865863.0
000300.XSHG,2018-06-04,3785.19,3807.58,3813.41,3776.62,7662434100.0,115146468450.0
000300.XSHG,2018-06-05,3811.29,3845.32,3845.56,3800.93,7868736000.0,121261467224.0
000300.XSHG,2018-06-06,3839.68,3837.35,3848.33,3830.9,7311723700.0,107142041766.0
000300.XSHG,2018-06-07,3846.94,3831.01,3859.85,3827.69,8025614700.0,112365710702.0
000300.XSHG,2018-06-08,3819.45,3779.62,3819.46,3759.27,8333733500.0,107818798321.0
000300.XSHG,2018-06-11,3770.21,3779.98,3792.55,3756.51,6870983400.0,105597924649.0
000300.XSHG,2018-06-12,3783.19,3825.95,3830.47,3765.26,7320624400.0,116217139615.0
000300.XSHG,2018-06-13,3814.62,3788.34,3817.45,3782.07,6637797000.0,97185498920.0
000300.XSHG,2018-06-14,3774.64,3773.37,3808.16,3759.25,6847132200.0,99234014984.0
000300.XSHG,2018-06-15,3763.04,3753.43,3780.34,3737.43,8548889300.0,109534900847.0
000300.XSHG,2018-06-19,3702.67,3621.12,3712.82,3583.02,16070654200.0,193848797293.0
000300.XSHG,2018-06-20,3602.55,3635.44,3649.34,3578.17,8671809800.0,112804812786.0
000300.XSHG,2018-06-21,3633.56,3592.97,3673.56,3589.49,9390855200.0,115584149028.0
000300.XSHG,2018-06-22,3567.89,3608.9,3609.08,3542.46,7511786400.0,89687282053.0
000300.XSHG,2018-06-25,3625.8,3560.48,3631.03,3559.03,7987707800.0,106690345317.0
000300.XSHG,2018-06-26,3521.59,3531.11,3541.78,3478.21,8498526900.0,108132167346.0
000300.XSHG,2018-06-27,3525.13,3459.26,3537.66,3441.78,8149181700.0,107628896582.0
000300.XSHG,2018-06-28,3434.94,3423.53,3477.06,3416.95,7591805100.0,98570527345.0
000300.XSHG,2018-06-29,3431.96,3510.98,3512.38,3425.22,7725703100.0,97616367299.0
000300.XSHG,2018-07-02,3504.46,3407.96,3506.9,3383.5,8435144900.0,107601540659.0
000300.XSHG,2018-07-03,3410.48,3409.28,3422.04,3319.29,9527869300.0,129898019347.0
000300.XSHG,2018-07-04,3398.78,3363.75,3418.33,3359.09,7515799700.0,93648559089.0
000300.XSHG,2018-07-05,3365.55,3342.44,3398.49,3330.71,8158798100.0,97544619590.0
000300.XSHG,2018-07-06,3347.06,3365.12,3396.25,3295.73,8609757900.0,109481942501.0
000300.XSHG,2018-07-09,3378.91,3459.18,3459.32,3378.91,7660154500.0,100918863679.0
000300.XSHG,2018-07-10,3464.91,3467.52,3474.14,3437.27,6954882300.0,90127445728.0
000300.XSHG,2018-07-11,3398.93,3407.53,3427.57,3375.14,7204095000.0,89661507129.0
000300.XSHG,2018-07-12,3403.33,3481.06,3499.1,3403.33,9635356400.0,117805514793.0
000300.XSHG,2018-07-13,3488.5,3492.69,3499.76,3474.91,7295589700.0,99800184924.0
000300.XSHG,2018-07-16,3488.97,3472.09,3506.24,3459.73,6828199900.0,90754288081.0
000300.XSHG,2018-07-17,3466.42,3449.38,3467.19,3420.97,6198307600.0,85720563654.0
000300.XSHG,2018-07-18,3456.61,3431.32,3479.26,3430.16,6653033000.0,88556873195.0
000300.XSHG,2018-07-19,3444.8,3428.34,3466.51,3417.96,6847771600.0,88804907805.0
000300.XSHG,2018-07-20,3426.46,3492.89,3505.93,3398.95,10198472700.0,122196953815.0
000300.XSHG,2018-07-23,3471.86,3525.75,3527.53,3464.65,11903662700.0,143960930682.0
000300.XSHG,2018-07-24,3530.66,3581.71,3596.51,3530.66,15691243500.0,177448954019.0
000300.XSHG,2018-07-25,3589.51,3577.75,3589.98,3566.31,9675850100.0,112176694173.0
000300.XSHG,2018-07-26,3583.32,3536.25,3593.92,3528.64,9034964100.0,105577285189.0
000300.XSHG,2018-07-27,3533.77,3521.23,3545.41,3512.7,7017810400.0,81192174902.0
000300.XSHG,2018-07-30,3520.85,3515.08,3550.9,3489.55,8211699500.0,96183097601.0
000300.XSHG,2018-07-31,3510.47,3517.66,3528.15,3493.15,6798081700.0,80022152109.0
000300.XSHG,2018-08-01,3530.03,3447.39,3543.61,3446.78,9034861700.0,107477214866.0
000300.XSHG,2018-08-02,3434.35,3370.96,3434.35,3322.1,10130872700.0,122401283623.0
000300.XSHG,2018-08-03,3366.66,3315.28,3381.34,3315.2,7079691000.0,91395987151.0
000300.XSHG,2018-08-06,3312.82,3273.27,3344.25,3257.69,7797508300.0,97517991022.0
000300.XSHG,2018-08-07,3284.98,3368.87,3368.96,3263.5,9178391600.0,107512223951.0
000300.XSHG,2018-08-08,3362.15,3314.51,3368.16,3311.77,7928486500.0,90958912013.0
000300.XSHG,2018-08-09,3303.48,3397.53,3408.39,3299.62,9195757200.0,108802315182.0
000300.XSHG,2018-08-10,3398.41,3405.02,3424.04,3380.57,6896729900.0,85634522136.0
000300.XSHG,2018-08-13,3369.98,3390.34,3396.19,3336.7,7619153200.0,90869290864.0
000300.XSHG,2018-08-14,3386.48,3372.91,3391.73,3356.61,6065144600.0,72121992610.0
000300.XSHG,2018-08-15,3371.96,3291.98,3372.14,3288.71,6817405500.0,83402193917.0
000300.XSHG,2018-08-16,3251.86,3276.73,3315.2,3231.56,7654736600.0,89269175663.0
000300.XSHG,2018-08-17,3305.9,3229.62,3311.57,3224.1,6739541300.0,84452452537.6
000300.XSHG,2018-08-20,3238.22,3267.25,3267.25,3209.01,7090422800.0,88963382601.9
000300.XSHG,2018-08-21,3271.84,3326.65,3331.71,3270.03,7520558300.0,97925840441.5
000300.XSHG,2018-08-22,3328.97,3307.95,3328.97,3299.39,5078705700.0,66548536184.4
000300.XSHG,2018-08-23,3308.46,3320.03,3336.11,3285.81,6111233400.0,80212785557.6
000300.XSHG,2018-08-24,3308.48,3325.33,3353.04,3291.87,6376589700.0,77197847851.7
000300.XSHG,2018-08-27,3339.39,3406.57,3406.57,3339.26,9427008200.0,114960964550.8
000300.XSHG,2018-08-28,3408.15,3400.17,3416.59,3388.81,7544536300.0,94945949810.0
000300.XSHG,2018-08-29,3393.05,3386.57,3398.71,3377.12,6702040400.0,79072300213.0
000300.XSHG,2018-08-30,3385.81,3351.09,3402.56,3349.47,6838529000.0,80226052652.0
000300.XSHG,2018-08-31,3333.38,3334.5,3356.58,3310.87,7620563000.0,96091892858.0
000300.XSHG,2018-09-03,3320.69,3321.82,3325.61,3291.78,6642985500.0,81305681453.0
